1038581,30763387
30,21459602
39838944,88333643
70,60945341
18567875,45478848
110,55867662
6779245,11234261
150,20373785
74314059,74464734
190,98495414
39834731,82608662
230,84781560
10228016,21671231
270,28416596
15576061,95607328
310,35911669
7327600,63329374
350,93045346
77712192,91886727
390,82772497
9985819,82177982
430,53096663
4981433,22983946
470,8231639
6189545,87646281
510,68073383
34256753,63926498
550,52409762
39043717,81307110
590,17581588
9170290,92819734
630,55267642
35280129,57388354
670,9069447
20507207,65276303
710,93512684
59486280,68773447
750,74148435
35189237,81526551
790,75506114
20122900,45181605
830,66333814
21928404,84307917
870,88258777
20736912,90301455
910,40322023
34610122,37008096
950,50757160
32492825,38604444
990,72877287
15404392,18235029
1030,89846284
75667247,86917577
1070,75495237
5726213,27557024
1110,11282267
27327458,66058309
1150,61498888
17095996,82877529
1190,71799392
42528323,74580799
1230,4534243
71968693,82817603
1270,36809263
24555024,82863274
1310,48097533
44212987,52830596
1350,56354491
71909474,80599540
1390,48389564
51039367,97776468
1430,45030188
21689130,22921491
1470,75142543
32904505,80572185
1510,65531585
66511482,75924336
1550,52726423
434518,27903871
1590,97273542
7766385,66605849
1630,55622807
14805949,91580370
1670,80636896
6885689,88513018
1710,10916920
66336443,84627878
1750,11780279
43614842,93586983
1790,59934669
16274034,40558954
1830,20444396
93625045,95907104
1870,86721671
30231845,50280094
1910,97309224
2553033,42896621
1950,1126332
48624090,84522380
1990,92965237
34593958,84185750
2030,12906569
31222049,64288482
2070,30698149
37148915,97284948
2110,58577768
90446207,97872186
2150,99864946
37989981,43042128
2190,43510989
65885721,91752305
2230,58619177
36006975,81935554
2270,15322734
10564534,96127054
2310,27472854
97171098,97280273
2350,12055651
21879954,29746235
2390,28231092
38535715,44841433
2430,28588477
2606544,34053771
2470,33389132
46385636,86280127
2510,18457203
21085668,88309692
2550,94592595
41720162,67044374
2590,68415318
4750043,46250741
2630,87304546
89079243,99044821
2670,59949207
15254247,72674215
2710,76943716
49309607,89417391
2750,67555986
36080675,80497482
2790,35064677
33991496,67931263
2830,27019897
31350296,71682123
2870,64467363
8196072,24167881
2910,10746479
93748737,98260230
2950,48403819
46962012,99622329
2990,4762510
40003425,77427717
3030,43047082
15494976,20138153
3070,93934317
64325842,83381899
3110,25878434
17276213,52379333
3150,23308871
18788875,54938829
3190,7512324
2241915,19753885
3230,58029511
1227005,45254315
3270,16179143
49772830,79052081
3310,65798007
59594955,79776841
3350,10057354
16063128,67665175
3390,46442521
14345903,15420516
3430,73965816
27444498,34104944
3470,43790182
58470420,76480677
3510,15148024
26196104,84294262
3550,99635372
22859418,96771164
3590,70101846
9006829,28283994
3630,77865354
10590979,58126043
3670,7846900
37318857,68865020
3710,52075143
46072653,80336837
3750,40601380
17486452,45794384
3790,33254741
16728971,17120789
3830,72981298
24893939,37415844
3870,85425224
3905855,47357019
3910,95089528
85601939,99426572
3950,81587467
69465742,96623156
3990,78209362
11710552,90068681
4030,89786727
25236779,46208485
4070,92838913
64410079,94225509
4110,85613736
22648956,69287085
4150,14909404
2131121,44694707
4190,25667472
60756370,80390198
4230,42230482
16347014,97473147
4270,5921577
20535135,37638266
4310,53139075
37852767,80494672
4350,47317898
35743173,43321600
4390,89117114
7590665,98614274
4430,64974403
28257000,66287247
4470,74571871
57241135,65182091
4510,90035699
48671576,56762747
4550,873478
3618664,33923912
4590,24355521
64747862,77112269
4630,73999754
33836325,40822276
4670,63273345
46747924,84353069
4710,70637834
29373227,89676726
4750,4910510
17262984,30007119
4790,95200878
19630380,60297636
4830,78811440
32932450,74869567
4870,3449791
23013293,36623531
4910,35040488
8694383,94690373
4950,30053441
74536539,95845264
4990,56882423
37048837,42739872
5030,34541564
36927618,48632963
5070,70647941
30928519,65934868
5110,13215067
20812042,49443124
5150,28547345
12009863,96747558
5190,73257805
56815768,58899810
5230,57793968
10989123,46776289
5270,33312920
46820782,89150010
5310,43749523
13552374,43058404
5350,62157409
2470702,29810353
5390,72266090
18704817,50771321
5430,44701392
47453176,90109129
5470,75562321
30929261,50540116
5510,36638433
51977541,69910001
5550,20043138
10441111,75019672
5590,42058134
66488314,79616867
5630,16780311
23129333,58850128
5670,15456370
46425602,67998968
5710,79961674
85989895,97225673
5750,72873185
25999833,26187967
5790,34096528
39536812,61541086
5830,37984240
39475754,44520662
5870,82510303
59066531,61395291
5910,20212458
2422163,63235394
5950,73423427
41315654,49964672
5990,51930070
40089945,88785688
6030,2628008
3544657,21968923
6070,73464975
26246739,46752777
6110,77076601
26991094,78581638
6150,22468446
33565805,92173054
6190,44643213
69441938,89557134
6230,61337933
5557865,35452220
6270,90411470
9819054,39877254
6310,1550869
597605,46508649
6350,76125727
25030386,46546252
6390,70312617
36272587,83353045
6430,16856647
952547,70004506
6470,67847647
66884376,95624512
6510,31905092
32834039,33854033
6550,85651223
71335858,93571313
6590,69888030
88339269,88922943
6630,65735987
59928652,69748104
6670,16323271
3144036,29193661
6710,28612997
26744894,98538166
6750,92856549
19681362,98993447
6790,9376427
11288200,66775397
6830,47848685
54967127,57100283
6870,29958475
24692132,66870705
6910,55886838
44575092,64396493
6950,82859217
